Name,Story,Genres,Certificate
Bridgerton,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","Drama ,Romance",TV-MA
Cobra Kai,"Thirty years after their final confrontation at the 1984 All Valley Karate Tournament, Johnny Lawrence is at rock-bottom as an unemployed handyman haunted by his wasted life. However, when Johnny rescues a bullied kid, Miguel, from bullies, he is inspired to restart the notorious Cobra Kai dojo. However, this revitalization of his life and related misunderstandings find Johnny restarting his old rivalry with Daniel LaRousso, a successful businessman who may be happily married, but is missing an essential balance in life since the death of his mentor, Mr. Miyagi. Meanwhile, even as this antipathy festers, it finds itself reflected in their protegees as Miguel and his comrades are gradually poisoned by Cobra Kai's thuggish philosophy. Meanwhile, while Daniel's daughter, Samantha, finds herself in the middle of this conflict amidst false friends, Johnny's estranged miscreant son, Robby, finds himself inadvertently coming under Daniel's wing and flourishes in ways worthy of Mr. Miyagi.","Action ,Comedy ,Drama ,Sport",TV-14
The Mandalorian,"After the stories of Jango and Boba Fett, another warrior emerges in the Star Wars universe. The Mandalorian is set after the fall of the Empire and before the emergence of the First Order. We follow the travails of a lone gunfighter in the outer reaches of the galaxy far from the authority of the New Republic.","Action ,Adventure ,Sci-Fi",TV-14
Superstore,A look at the lives of employees at a big box store.,Comedy,TV-14
Game of Thrones,"In the mythical continent of Westeros, several powerful families fight for control of the Seven Kingdoms. As conflict erupts in the kingdoms of men, an ancient enemy rises once again to threaten them all. Meanwhile, the last heirs of a recently usurped dynasty plot to take back their homeland from across the Narrow Sea.","Action ,Adventure ,Drama ,Fantasy",TV-MA
Snowpiercer,"Set seven years after the world has become a frozen wasteland, Snowpiercer centers on the remnants of humanity, who inhabit a gigantic, perpetually-moving train that circles the globe. Class warfare, social injustice and the politics of survival are questioned in this riveting television adaptation.","Action ,Drama ,Sci-Fi ,Thriller",TV-MA
The Expanse,"Two hundred years in the future, in a fully colonized solar system, police detective Josephus Miller (Thomas Jane), who was born in the asteroid belt, is given the assignment to find a missing young woman; Julie Mao (Florence Faivre). Meanwhile, James Holden (Steven Strait), the first officer of an ice freighter, is witness to an unprovoked attack upon the ship, by craft believed to be from Mars (MCRN Federation). As news of the attack spreads throughout the system, the incident's flow-on threatens to destabilize already tenuous relations between Earth, Mars and The Belt. Far away from the struggles in deep space, on Earth, Chrisjen Avasarala (Shohreh Aghdashloo), a powerful United Nations executive and diplomat, works to prevent war between Earth and Mars by any means. Soon, the 3 find out the missing woman and the ice freighter's fate are part of a vast covert conspiracy which threatens all humanity.","Drama ,Mystery ,Sci-Fi ,Thriller",TV-14
Euphoria,"A look at life for a group of high school students as they grapple with issues of drugs, sex and violence. The series focuses on the relationship between two young girls trying to find their place in the world: recovering addict Rue and new-in-town Jules.",Drama,TV-MA
Your Honor,"Bryan Cranston stars as a New Orleans judge who is forced to confront his own deepest convictions when his son is involved in a hit and run that embroils an organized crime family. As a storm of vengeance, lies and deceit threatens to engulf the entire city, Michael Desiato faces a series of increasingly impossible choices and discovers just how far an honest man will go to save his son's life.","Crime ,Drama ,Thriller",TV-MA
The Office,"A mediocre paper company in the hands of Scranton, PA branch manager Michael Scott. This mockumentary follows the everyday lives of the manager and the employees he ""manages."" The crew follows the employees around 24/7 and captures their quite humorous and bizarre encounters as they will do what it takes to keep the company thriving.",Comedy,TV-14
