IMDB,Name,Runtime (mins),Genre,Rating,Votes,Description,Stars,Release_year,End_year,Episodes
8740790,Bridgerton,60.0,"Drama, Romance            ",7.3,50357,"    Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","Phoebe Dynevor, Regé-Jean Page, Nicola Coughlan, Jonathan Bailey",2020, ,9
7221388,Cobra Kai,30.0,"Action, Comedy, Drama            ",8.6,104807,"    Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Ralph Macchio, William Zabka, Xolo Maridueña, Courtney Henggeler",2018, ,33
8111088,The Mandalorian,40.0,"Action, Adventure, Sci-Fi            ",8.8,281712,"    The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Pedro Pascal, Gina Carano, Giancarlo Esposito, Chris Bartlett",2019, ,24
4477976,Superstore,22.0,Comedy            ,7.8,23192,    A look at the lives of employees at a big box store.,"Ben Feldman, Lauren Ash, Colton Dunn, Nico Santos",2015, ,113
0944947,Game of Thrones,57.0,"Action, Adventure, Drama            ",9.3,1763644,"    Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",2011,2019,73
6156584,Snowpiercer,60.0,"Action, Drama, Sci-Fi            ",6.8,24792,"    Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.","Jennifer Connelly, Daveed Diggs, Mickey Sumner, Alison Wright",2020, ,21
3230854,The Expanse,60.0,"Drama, Mystery, Sci-Fi            ",8.5,106786,"    In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","Steven Strait, Dominique Tipper, Wes Chatham, Shohreh Aghdashloo",2015, ,57
8772296,Euphoria,55.0,Drama            ,8.4,62492,"    A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.","Zendaya, Hunter Schafer, Jacob Elordi, Maude Apatow",2019, ,10
7440726,Your Honor,,"Crime, Drama, Thriller            ",8.1,9522,"    A judge confronts his convictions when his son is involved in a hit and run that embroils an organized crime family. Facing impossible choices, he discovers how far a father will go to save his son's life.","Bryan Cranston, Hunter Doohan, Hope Davis, Michael Stuhlbarg",2020, ,10
0386676,The Office,22.0,Comedy            ,8.9,409909,"    A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",2005,2013,188
1831804,The Stand,,"Adventure, Drama, Fantasy            ",5.5,9497,"    After the world is in ruins, due to a man-made plague, a battle of Biblical proportions ensues between the survivors.","Whoopi Goldberg, Alexander Skarsgård, James Marsden, Odessa Young",2020,2021,9
3526078,Schitt's Creek,22.0,Comedy            ,8.5,66382,"    When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy",2015,2020,80
1520211,The Walking Dead,44.0,"Drama, Horror, Thriller            ",8.2,850943,    Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Andrew Lincoln, Norman Reedus, Melissa McBride, Danai Gurira",2010, ,177
0413573,Grey's Anatomy,41.0,"Drama, Romance            ",7.6,249737,    A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",2005, ,370
0903747,Breaking Bad,49.0,"Crime, Drama, Thriller            ",9.5,1457770,    A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",2008,2013,62
3006802,Outlander,64.0,"Drama, Fantasy, Romance            ",8.4,123162,    An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton",2014, ,68
4236770,Yellowstone,60.0,"Drama, Western            ",8.6,30556,    A ranching family in Montana faces off against others encroaching on their land.,"Kevin Costner, Luke Grimes, Kelly Reilly, Wes Bentley",2018, ,31
0452046,Criminal Minds,42.0,"Crime, Drama, Mystery            ",8.1,160417,"    The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.","Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Joe Mantegna",2005,2020,323
2741602,The Blacklist,43.0,"Crime, Drama, Mystery            ",8.0,196012,"    A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold",2013, ,160
0460681,Supernatural,44.0,"Drama, Fantasy, Horror            ",8.4,391627,"    Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins",2005,2020,327
1586680,Shameless,46.0,"Comedy, Drama            ",8.6,202245,"    A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White",2011,2021,135
1190634,The Boys,60.0,"Action, Comedy, Crime            ",8.7,242438,    A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty",2019, ,19
4574334,Stranger Things,51.0,"Drama, Fantasy, Horror            ",8.7,817149,"    When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",2016, ,34
5555260,This Is Us,45.0,"Comedy, Drama, Romance            ",8.7,105466,"    A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.","Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",2016, ,81
0364845,NCIS: Naval Criminal Investigative Service,60.0,"Action, Crime, Drama            ",7.7,119180,"    The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","Mark Harmon, David McCallum, Sean Murray, Pauley Perrette",2003, ,405
1898069,American Gods,60.0,"Drama, Fantasy, Mystery            ",7.8,74176,"    A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past.","Ricky Whittle, Emily Browning, Yetide Badaki, Bruce Langley",2017, ,26
5420376,Riverdale,45.0,"Crime, Drama, Mystery            ",6.9,116595,"    While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",2017, ,83
0898266,The Big Bang Theory,22.0,"Comedy, Romance            ",8.1,721190,    A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,"Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",2007,2019,280
4052886,Lucifer,42.0,"Crime, Drama, Fantasy            ",8.1,230543,    Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside",2016, ,93
11794642,Big Sky,60.0,"Crime, Drama, Thriller            ",6.5,3756,    A private detective teams up with an ex-cop to solve a kidnapping case in Montana.,"Katheryn Winnick, Kylie Bunbury, Brian Geraghty, Dedee Pfeiffer",2020, ,16
2467372,Brooklyn Nine-Nine,22.0,"Comedy, Crime            ",8.4,223125,"    Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero",2013, ,153
2802850,Fargo,53.0,"Crime, Drama, Thriller            ",8.9,326358,"    Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",2014, ,41
8068860,Servant,30.0,"Drama, Horror, Mystery            ",7.6,18561,    A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,"Lauren Ambrose, Toby Kebbell, Nell Tiger Free, Rupert Grint",2019, ,21
5171438,Star Trek: Discovery,60.0,"Action, Adventure, Drama            ",7.2,95564,"    Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman",2017, ,43
6470478,The Good Doctor,41.0,Drama            ,8.2,62366,"    Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","Freddie Highmore, Antonia Thomas, Hill Harper, Richard Schiff",2017, ,65
3032476,Better Call Saul,46.0,"Crime, Drama            ",8.7,322001,"    The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian",2015,2021,63
7235466,9-1-1,43.0,"Action, Drama, Thriller            ",7.7,20817,"    Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking and heart-stopping situations.","Angela Bassett, Peter Krause, Oliver Stark, Aisha Hinds",2018, ,51
5460226,Search Party,24.0,"Comedy, Crime, Drama            ",7.6,5838,    Search Party is a dark comedy about four self-absorbed twenty-somethings who become entangled in an ominous mystery when a former college acquaintance suddenly disappears.,"Alia Shawkat, John Reynolds, John Early, Meredith Hagner",2016, ,40
7569592,Chilling Adventures of Sabrina,60.0,"Drama, Fantasy, Horror            ",7.5,76718,"    As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.","Kiernan Shipka, Ross Lynch, Lucy Davis, Chance Perdomo",2018,2020,36
5363918,Disenchantment,30.0,"Animation, Action, Adventure            ",7.2,46071,"    Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.","Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio",2018, ,40
1632701,Suits,44.0,"Comedy, Drama            ",8.5,362604,"    On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.","Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty",2011,2019,134
1439629,Community,22.0,Comedy            ,8.5,217944,    A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",2009,2015,110
5071412,Ozark,60.0,"Crime, Drama, Thriller            ",8.4,185836,"    A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner",2017, ,44
10986410,Ted Lasso,30.0,"Comedy, Drama, Sport            ",8.7,33533,    Follows US American Football coach Ted Lasso heading to the UK to manage a struggling London football team in the top flight of English football.,"Jason Sudeikis, Hannah Waddingham, Brendan Hunt, Jeremy Swift",2020, ,12
1826940,New Girl,22.0,Comedy            ,7.7,191576,"    After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone",2011,2018,146
7587890,The Rookie,43.0,"Comedy, Crime, Drama            ",8.1,19616,"    Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.","Nathan Fillion, Alyssa Diaz, Richard T. Jones, Titus Makin Jr.",2018, ,54
5180504,The Witcher,60.0,"Action, Adventure, Fantasy            ",8.2,297892,"    Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Henry Cavill, Freya Allan, Yasen Atour, Basil Eidenbenz",2019, ,16
7569576,The Flight Attendant,,"Comedy, Drama, Mystery            ",7.1,17680,"    A reckless flight attendant with an alcoholism problem, wakes up in the wrong hotel, in the wrong bed, with a dead man - and no idea what happened. When questioned by FBI agents and still unable to piece the night together, she begins to wonder if she could be the killer.","Kaley Cuoco, Michiel Huisman, Zosia Mamet, T.R. Knight",2020, ,9
4254242,The Magicians,60.0,"Drama, Fantasy, Mystery            ",7.6,43343,"    After being recruited to a secretive academy, a group of students discover that the magic they read about as children is very real-and more dangerous than they ever imagined.","Stella Maeve, Hale Appleman, Arjun Gupta, Summer Bishil",2015,2020,65
1888075,Death in Paradise,60.0,"Comedy, Crime, Drama            ",7.8,14375,"    A UK police DI is transferred to St-Marie's police dept. He hates the sun, sea and sand. Series follows his murder investigations on the island. Later series see another UK DI head the team, followed by an Irish DI and then another UK DI.","Elizabeth Bourgine, Danny John-Jules, Don Warrington, Tobi Bakare",2011, ,78
2661044,The 100,43.0,"Drama, Mystery, Sci-Fi            ",7.6,215499,"    Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington",2014,2020,100
9077530,Virgin River,44.0,"Drama, Romance            ",7.5,19224,"    After seeing an ad for a midwife, a big-city nurse moves to the redwood forests of northern California, where she meets an intriguing man.","Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Lauren Hammersley",2019, ,30
1844624,American Horror Story,60.0,"Drama, Horror, Thriller            ",8.0,276851,"    An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson",2011, ,108
10323338,9-1-1: Lone Star,43.0,"Action, Drama, Thriller            ",6.6,6362,"    A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems.","Rob Lowe, Ronen Rubinstein, Sierra Aylina McClain, Jim Parrack",2020, ,15
0411008,Lost,44.0,"Adventure, Drama, Fantasy            ",8.3,494336,    The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly",2004,2010,118
0460649,How I Met Your Mother,22.0,"Comedy, Romance            ",8.3,601056,    A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",2005,2014,208
0475784,Westworld,62.0,"Drama, Mystery, Sci-Fi            ",8.6,426620,"    Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton",2016, ,29
