IMDB,Name,Runtime (mins),Genre,Rating,Votes,Description,Stars,Release_year,End_year,Episodes,Seasons,Distributor,Genres,Story
8740790,Bridgerton,60.0,"Drama, Romance            ",7.3,50357,"    Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","Phoebe Dynevor, Regé-Jean Page, Nicola Coughlan, Jonathan Bailey",2020, ,9,2,Netflix,"Drama ,Romance","Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family."
7221388,Cobra Kai,30.0,"Action, Comedy, Drama            ",8.6,104807,"    Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Ralph Macchio, William Zabka, Xolo Maridueña, Courtney Henggeler",2018, ,33,4,Netflix,"Action ,Comedy ,Drama ,Sport","Thirty years after their final confrontation at the 1984 All Valley Karate Tournament, Johnny Lawrence is at rock-bottom as an unemployed handyman haunted by his wasted life. However, when Johnny rescues a bullied kid, Miguel, from bullies, he is inspired to restart the notorious Cobra Kai dojo. However, this revitalization of his life and related misunderstandings find Johnny restarting his old rivalry with Daniel LaRousso, a successful businessman who may be happily married, but is missing an essential balance in life since the death of his mentor, Mr. Miyagi. Meanwhile, even as this antipathy festers, it finds itself reflected in their protegees as Miguel and his comrades are gradually poisoned by Cobra Kai's thuggish philosophy. Meanwhile, while Daniel's daughter, Samantha, finds herself in the middle of this conflict amidst false friends, Johnny's estranged miscreant son, Robby, finds himself inadvertently coming under Daniel's wing and flourishes in ways worthy of Mr. Miyagi."
8111088,The Mandalorian,40.0,"Action, Adventure, Sci-Fi            ",8.8,281712,"    The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Pedro Pascal, Gina Carano, Giancarlo Esposito, Chris Bartlett",2019, ,24,3,Disney+,"Action ,Adventure ,Sci-Fi","After the stories of Jango and Boba Fett, another warrior emerges in the Star Wars universe. The Mandalorian is set after the fall of the Empire and before the emergence of the First Order. We follow the travails of a lone gunfighter in the outer reaches of the galaxy far from the authority of the New Republic."
4477976,Superstore,22.0,Comedy            ,7.8,23192,    A look at the lives of employees at a big box store.,"Ben Feldman, Lauren Ash, Colton Dunn, Nico Santos",2015, ,113,6,National Broadcasting Company,Comedy,A look at the lives of employees at a big box store.
0944947,Game of Thrones,57.0,"Action, Adventure, Drama            ",9.3,1763644,"    Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",2011,2019,73,8,Home Box Office,"Action ,Adventure ,Drama ,Fantasy","In the mythical continent of Westeros, several powerful families fight for control of the Seven Kingdoms. As conflict erupts in the kingdoms of men, an ancient enemy rises once again to threaten them all. Meanwhile, the last heirs of a recently usurped dynasty plot to take back their homeland from across the Narrow Sea."
6156584,Snowpiercer,60.0,"Action, Drama, Sci-Fi            ",6.8,24792,"    Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.","Jennifer Connelly, Daveed Diggs, Mickey Sumner, Alison Wright",2020, ,21,3,TNT,"Action ,Drama ,Sci-Fi ,Thriller","Set seven years after the world has become a frozen wasteland, Snowpiercer centers on the remnants of humanity, who inhabit a gigantic, perpetually-moving train that circles the globe. Class warfare, social injustice and the politics of survival are questioned in this riveting television adaptation."
3230854,The Expanse,60.0,"Drama, Mystery, Sci-Fi            ",8.5,106786,"    In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","Steven Strait, Dominique Tipper, Wes Chatham, Shohreh Aghdashloo",2015, ,57,6,Syfy,"Drama ,Mystery ,Sci-Fi ,Thriller","Two hundred years in the future, in a fully colonized solar system, police detective Josephus Miller (Thomas Jane), who was born in the asteroid belt, is given the assignment to find a missing young woman; Julie Mao (Florence Faivre). Meanwhile, James Holden (Steven Strait), the first officer of an ice freighter, is witness to an unprovoked attack upon the ship, by craft believed to be from Mars (MCRN Federation). As news of the attack spreads throughout the system, the incident's flow-on threatens to destabilize already tenuous relations between Earth, Mars and The Belt. Far away from the struggles in deep space, on Earth, Chrisjen Avasarala (Shohreh Aghdashloo), a powerful United Nations executive and diplomat, works to prevent war between Earth and Mars by any means. Soon, the 3 find out the missing woman and the ice freighter's fate are part of a vast covert conspiracy which threatens all humanity."
8772296,Euphoria,55.0,Drama            ,8.4,62492,"    A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.","Zendaya, Hunter Schafer, Jacob Elordi, Maude Apatow",2019, ,10,1,Home Box Office,Drama,"A look at life for a group of high school students as they grapple with issues of drugs, sex and violence. The series focuses on the relationship between two young girls trying to find their place in the world: recovering addict Rue and new-in-town Jules."
7440726,Your Honor,,"Crime, Drama, Thriller            ",8.1,9522,"    A judge confronts his convictions when his son is involved in a hit and run that embroils an organized crime family. Facing impossible choices, he discovers how far a father will go to save his son's life.","Bryan Cranston, Hunter Doohan, Hope Davis, Michael Stuhlbarg",2020, ,10,1,Showtime Networks,"Crime ,Drama ,Thriller","Bryan Cranston stars as a New Orleans judge who is forced to confront his own deepest convictions when his son is involved in a hit and run that embroils an organized crime family. As a storm of vengeance, lies and deceit threatens to engulf the entire city, Michael Desiato faces a series of increasingly impossible choices and discovers just how far an honest man will go to save his son's life."
0386676,The Office,22.0,Comedy            ,8.9,409909,"    A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",2005,2013,188,9,National Broadcasting Company,Comedy,"A mediocre paper company in the hands of Scranton, PA branch manager Michael Scott. This mockumentary follows the everyday lives of the manager and the employees he ""manages."" The crew follows the employees around 24/7 and captures their quite humorous and bizarre encounters as they will do what it takes to keep the company thriving."
