,Title
0,Big Mouth
1,The Simpsons
2,Rick and Morty
3,Family Guy
4,South Park
5,BoJack Horseman
6,Archer
7,Harley Quinn
8,Saturday Night Live
9,Futurama
10,King of the Hill
11,The Boondocks
12,Robot Chicken
13,The Midnight Gospel
14,Close Enough
15,Aqua Teen Hunger Force
16,The Cleveland Show
17,Mike Tyson Mysteries
18,Daria
19,Metalocalypse
20,Spawn
21,Our Cartoon President
22,Higurashi no naku koro ni
23,Drawn Together
24,Space Ghost Coast to Coast
25,Home Movies
26,The Critic
27,Squidbillies
28,Happy Tree Friends
29,Sealab 2021
30,Ugly Americans
31,Black Dynamite
32,Frisky Dingo
33,Moral Orel
34,Jonny Quest
35,The PJs
36,Hokuto no Ken
37,Sukûru deizu
38,Seis Manos
39,Spicy City
40,Wonder Showzen
41,The Ricky Gervais Show
42,Tripping the Rift
43,Tom Goes to the Mayor
44,Samurai 7
45,Assy McGee
46,Kanokon
47,Mission Hill
48,Wait Till Your Father Gets Home
49,The Brak Show
50,Sit Down Shut Up
51,Monkey Dust
52,Stone Quackers
53,Happy Tree Friends
54,Shin Hokuto no Ken
55,Capitol Critters
56,The Nutshack
57,Lobo
58,Producing Parker
59,Perfect Hair Forever
60,Odd Job Jack
61,Stroker and Hoop
62,The Xtacles
63,Titan Maximum
64,TV Funhouse
65,Freak Show
66,Cartoon Planet
67,Minoriteam
68,Crapston Villas
69,Slacker Cats
70,The Drinky Crow Show
71,Sons of Butcher
72,The Wrong Coast
73,Brak Presents the Brak Show Starring Brak
74,Hotbox
75,Yallahrup Færgeby
76,Dead End
77,Steve and Stephen
78,This Just In
79,Popzilla
80,Tony Story
81,Personas Cetáceas
82,Jamal et Mehdi
