,Title
0,The Walking Dead
1,Chilling Adventures of Sabrina
2,The Boys
3,Lucifer
4,Snowpiercer
5,Titans
6,The Umbrella Academy
7,Riverdale
8,The Flash
9,Batwoman
10,Arrow
11,Doom Patrol
12,Fear the Walking Dead
13,Supergirl
14,Gotham
15,Smallville
16,Sabrina the Teenage Witch
17,The Punisher
18,Daredevil
19,Legends of Tomorrow
20,Hawkeye
21,Pennyworth
22,Harley Quinn
23,Jessica Jones
24,Stargirl
25,Moon Knight
26,Wonder Woman
27,Legion
28,iZombie
29,Preacher
30,Warrior Nun
31,Iron Fist
32,Runaways
33,Agent Carter
34,I Am Not Okay with This
35,Wynonna Earp
36,DuckTales
37,Black Lightning
38,Swamp Thing
39,Luke Cage
40,Young Justice
41,Batman
42,The Gifted
43,Helstrom
44,Hilda
45,Superman and Lois
46,Deadly Class
47,Tales from the Crypt
48,Kenpû Denki Berserk
49,Batman Beyond
50,Teen Titans
51,October Faction
52,Robot Chicken
53,Invincible
54,The Incredible Hulk
55,Teenage Mutant Ninja Turtles
56,Katy Keene
57,Constantine
58,The Sandman
59,Birds of Prey
60,Adventures of Superman
61,The New Batman Adventures
62,Justice League
63,Krypton
64,Inuyasha
65,Secret Invasion
66,Justice League Unlimited
67,Teenage Mutant Ninja Turtles
68,Avengers Assemble
69,Peacemaker
70,Yu yu hakusho
71,Beruseruku
72,Outcast
73,Teenage Mutant Ninja Turtles
74,The Batman
75,DuckTales
76,Mutant X
77,DC Super Hero Girls
78,Powers
79,Rise of the Teenage Mutant Ninja Turtles
80,Superman
81,Human Target
82,The Green Hornet
83,Superboy
84,Spawn
85,Conan
86,Guardians of the Galaxy
87,Kureimoa
88,Gantz
89,Deadpool
90,Generator Rex
91,Sabrina the Teenage Witch
92,Powerless
93,Witchblade
94,Night Man
95,Vixen
96,Metal Hurlant Chronicles
97,Justice League Action
98,Rozario to banpaia
99,The Adventures of Tintin
100,Smurfs
101,Seinto Seiya
102,The Tick
103,Isis
104,The Rocketeer
105,Static Shock
106,Swamp Thing
107,Jeremiah
108,Ikki tôsen
109,Kadokyaputa Sakura
110,The Incredible Hulk
111,Witchblade
112,Super Friends
113,The Mask
114,DC Super Hero Girls
115,Ninjak vs the Valiant Universe
116,Shôjo kakumei Utena
117,Outlaw Star
118,New Warriors
119,Martin Mystery
120,Supaidâman
121,Mad
122,Fantastic Four
123,Happy Sugar Life
124,The Super Hero Squad Show
125,Painkiller Jane
126,Urusei Yatsura
127,Legends of the Superheroes
128,The Middleman
129,Harvey Street Kids
130,Marvel Future Avengers
131,Avengers
132,Josie and the Pussycats
133,Iron Man
134,Timecop
135,Captain America
136,Perversions of Science
137,Jigoku shôjo
138,Largo Winch
139,Harsh Realm
140,Infected
141,Fantastic 4
142,Krypto the Superdog
143,Ekkusu
144,Batman Unlimited
145,Bananaman
146,Legion of Super Heroes
147,Gotham Girls
148,Lucky Luke
149,Sorcerous Stabber Orphen
150,The New Adventures of Batman
151,Sin City
152,CardCaptors
153,Kareshi kanojo no jijou
154,Rekka no honoo
155,Black Cat
