,Title
0,Cobra Kai
1,The Mandalorian
2,Fargo
3,Westworld
4,Buffy the Vampire Slayer
5,Hannibal
6,Friday Night Lights
7,Hanna
8,12 Monkeys
9,Ash vs Evil Dead
10,Mystery Road
11,The Odd Couple
12,In the Heat of the Night
13,Highlander
14,Creepshow
15,Anger Management
16,Limitless
17,Alice
18,Dominion
19,The Lion Guard
20,Clueless
21,Fame
22,La Femme Nikita
23,10 Things I Hate About You
24,The Dead Zone
25,Voyage to the Bottom of the Sea
26,The Young Offenders
27,The Karate Kid
28,Sheena
29,Frequency
30,BeastMaster
31,Conan
32,Guardians of the Galaxy
33,Black Scorpion
34,Tremors
35,The Real Ghost Busters
36,How the West Was Won
37,Ferris Bueller
38,Peyton Place
39,The Penguins of Madagascar
40,Hercules
41,Aladdin
42,Spirit Riding Free
43,Dawn of the Croods
44,Lupin
45,RoboCop
46,Harry and the Hendersons
47,Forky Asks a Question
48,Alien Nation
49,Black Dynamite
50,My Big Fat Greek Life
51,The Magnificent Seven
52,Delta House
53,Starman
54,Planet of the Apes
55,Soul Food
56,Star Wars Galaxy of Adventures
57,The Little Mermaid
58,Buzz Lightyear of Star Command
59,Muppet Babies
60,Blue Thunder
61,Turbo FAST
62,The Mask
63,101 Dalmatian Street
64,Napoleon Dynamite
65,Romper Stomper
66,Back to the Future
67,9 to 5
68,Working Girl
69,Seven Brides for Seven Brothers
70,The Net
71,Dixon of Dock Green
72,Beyond Westworld
73,Jumanji
74,Extreme Ghostbusters
75,Hotel Transylvania
76,The Mummy
77,The Legend of Tarzan
78,Samurai 7
79,The Thin Man
80,Baby Talk
81,Rambo
82,Problem Child
83,Timecop
84,Cloudy with a Chance of Meatballs
85,Private Benjamin
86,The Kids of Degrassi Street
87,The Client
88,Shaft
89,RoboCop
90,Dangerous Minds
91,Dumb and Dumber
92,Breaking Away
93,Return to the Planet of the Apes
94,Love Is a Many Splendored Thing
95,Godzilla
96,Paper Moon
97,Baby Boom
98,Todas as Mulheres do Mundo
99,The 7D
100,Some of My Best Friends
101,The Wizard of Oz
102,The NeverEnding Story
103,Toxic Crusaders
104,Lux Video Theatre
105,The New Odd Couple
106,Ozu no mahôtsukai
107,Air America
108,The Blues Brothers Animated Series
109,Bagdad Cafe
110,Jungle Cubs
111,Gung Ho
112,A Mind to Kill
113,Stuart Little
114,The Cowboys
115,Dead Reckoning
116,Beethoven
117,Ana y los 7
118,Teen Wolf
119,Free Willy
120,Madigan
121,The Hater
122,The Joker Blogs
123,The Philosophers
124,Finney
125,Crisis Center
126,Lastikman
127,Party Girl
128,Eddie Dodd
129,Max Glick
130,Finding Forrester
131,Kokey
132,Stray Dogs
133,Tanging yaman
134,Panday
135,Monsters
136,Headhunter
137,Pangarap na bituin
138,Bakekang
139,Brothers in Law
140,Rated
141,Kamenák
142,Age of Darkness
143,Foxton
144,Fanged
145,Walang kapalit
146,Senja Chronicles
147,Hastings
148,Sine novela
149,Heads N TailZ
150,Por fin solos
151,The Book of Tomorrow
152,Anchor Baby
153,Zenith
154,Marriage Material
155,Stubby
156,Double O Negative
157,Margarita
158,The Days of Matthew Montgomery
159,Strangers from Dating
160,Limbic
161,Time Well Spent
162,Women Who Dare
163,Erthel
