,Title
0,MacGyver
1,Jack Ryan
2,Hunter x Hunter
3,Hagane no renkinjutsushi
4,Timeless
5,Charmed
6,DuckTales
7,Swamp Thing
8,Top Gear
9,The Tick
10,Animaniacs
11,Creepshow
12,Teenage Mutant Ninja Turtles
13,To Tell the Truth
14,Justice League Unlimited
15,All That
16,Teenage Mutant Ninja Turtles
17,Jack Reacher
18,BH90210
19,Ben 10
20,DC Super Hero Girls
21,Rise of the Teenage Mutant Ninja Turtles
22,Transformers Prime
23,The Looney Tunes Show
24,Looney Tunes Cartoons
25,Thundercats
26,Mickey Mouse
27,The Tom and Jerry Show
28,Justice League Action
29,The Powerpuff Girls
30,Match Game
31,Fantasy Island
32,Hassel
33,The Munsters Today
