,This is the best documentary Ad for a jacket i've ever watched! GG to the climbers and sherpas!
,I'm cold just watching this. Scary. 🥶😨
,Wish they'd talk about and show the descent. Did they sleep at camp 2 or just powered all the way down?
murdo182,"It’s kind of sad that the majority of people don’t realise Nimsdai Purja and team fixed the rope and led the trail blaze to the summit prior to the team in this documentary going for the summit, they literally waited for the work to be done and didn’t give any credit or a mention at all in this film"
zak benmalek,My dad swears this is how he got to school every morning
Chess with Suren,wondering what camera did they use for filming this video?
Myra Modregon,Two dollars is a bad tip at a restaurant. And people think it’s ok to tip their guide $2 for carrying their luggage up a mountain for a week???? -_-
Plantogenet ID,Please pay your porters well and treat them with utmost respect. They deserve it.
Snooker147,"Climbing gear and permit: 20k$
Tip for porter for a week long trek: Most I can do is 2 dollars"
S G,Who is here after Nepali mountaineers climbed k2 in winter ?
Hamas KhAn,K2 : Pride of PAKISTAN 🕋❤️🇵🇰😍🥰
Tony Li,Sherpa carried all of the gears and you can carry the glory of success. Good Job!
Liftnd,Sherpa be like $2 more than I make in the sweatshop sewing for Eddie Bauer
Vishwa,@15:43 seriously? for 7 days trek in such hostile conditions with huge luggage on their back they were paid just $2? A coffee in Starbucks costs at least $4. This is seriously an inhumane way of exploiting poor people who take a huge risk for other's luxury.
Hk 4lyfe,"The nice thing about K2 is that unlike Everest, it scares away all the casuals, thus preserving its prestige."
Safar and Travel,"These people pay $ 50K expedition fee plus equipments for another $ 50K to $ 100K. What they do not want to pay is porter fee who actually enables them to reach to K2. Those poor people have only 2 months of earning in a year, when expeditions start. Still after travelling to this far, these climbers do not want them to pay atleast $ 50. What a shame."
F F,Imagine putting yourself in a life-threatening situation on purpose
Sanggelje sherpa,"I am proud to be ""SHERPA""."
yaramar34,Kudos to the 10 Nepali climbers who have just become the first to summit K2 in the winter 🙏🏻🙏🏻
Raymundo Gonzalez,Being on the edge of life makes you truly feel alive.
barrett hendrix,"Seems like the hardest part of the climb, was paying the Sherpas.."
hassan ahmad sheikh,I am living just 10 hours away from this monster peak but have't ever think to climb it....you guyz did it...seriously this is courage
Hamas KhAn,🌹 اللّٰہ❤️ رسول صلی اللہ علیہ وآلہ وسلم 🌹
sryfodaweight,How can people only tip them 15 dollars a bag for a whole week?? That’s so disrespectful and tells a lot about the people.
I M FROM PAKISTAN,Congratulations to Nepal team for summit k2 in winter season 2021 for the first time
Hrithik Srivastava,Carry your stuff next time yourself and tip yourself 2$ at the end of the trip.
Sujan Gurung,I am here after my fellow countrymen summited the K2 in winter. An amazing feat in the history of mountaineering. And one of them did it without supplemental oxygen.
Ruben Louwagie,"""porters well compensated"" = a bit more than 10 dollars"
blueberry smasher,RIP Spanish mountaineer Sergi Mingote
Muhammed Shahzaib,Nepali Sherpas break winter record in quest to climb K2 - Pakistan.
Nepal Nepali,Finally Nepali Shrepa 8 brave brothers did this world record...proud to be Nepali 🙏🇳🇵Jay Nepal 🇳🇵🙏
Nate Wylie Studios,"Me watching tv “ugh I hate this annoying 15 second ad”
Me on YouTube watching 45 minute ad “wow that was awesome”"
Ron McNeely,Was there in 1986. The death troll was sobering.
Shahbaz Ali,This is proud of Pakistan. ❤ #K2
Kunal Chhetri,This is by far the best documentary I've seen.
Svitpo P,"as a son of the youngest person to ever walk on this mountain i am honord that this documentary was made. thank you ! and yes, i dont know how i exist"
